# ./genrand 0 1024 10000 3 123456
# random trace
RD 0000005C 2 4094
RD 0000005C 4 268323533
RD 000003E8 4 -807214653
RD 00000136 2 -15148
RD 00000354 4 -1582926496
RD 000003E6 2 25
RD 00000360 2 -21092
RD 00000188 4 1346934761
RD 000000A8 1 68
RD 00000350 4 -1704152979
RD 000001BC 4 -361741710
RD 0000016A 2 -6537
RD 00000056 2 -240
RD 00000250 1 -74
RD 00000224 4 -315239933
RD 00000056 2 -240
RD 00000282 1 117
RD 000001AC 4 908198449
RD 00000292 2 8192
RD 0000016C 4 -1738384929
RD 0000011C 4 1190835194
RD 000003BC 4 -326010655
RD 000001B8 4 1278637534
RD 00000294 4 605843945
RD 00000254 1 -34
RD 00000050 2 -15876
RD 000000C0 2 14928
RD 0000006C 2 19695
RD 00000254 1 -34
RD 0000019E 2 -1181
RD 00000084 1 99
RD 00000364 4 -1444027770
RD 0000029B 1 -31
RD 00000214 1 -39
RD 00000304 1 102
RD 000000C2 2 3238
RD 00000336 1 -11
RD 000001BE 1 66
RD 000001E6 2 26016
RD 00000054 4 534904592
RD 0000005E 1 74
RD 000003BD 1 -111
RD 000003DC 4 1023938530
RD 00000119 1 -13
RD 000001BC 4 -361741710
RD 000003EC 1 83
RD 00000000 4 -1683542337
RD 0000007A 2 -26921
RD 00000308 1 81
RD 0000023E 2 -31098
RD 0000038A 1 -115
RD 00000009 1 8
RD 00000378 4 621799103
RD 00000390 1 28
RD 000002E8 1 -20
RD 000003D4 4 912701987
RD 000002A4 2 14631
RD 0000001C 1 -48
RD 000000A4 2 27415
RD 00000294 4 605843945
RD 0000038C 2 -19331
RD 0000000C 2 30128
RD 00000379 1 15
RD 00000070 4 -327422197
RD 00000106 2 -15238
RD 0000003C 4 1077226637
RD 000002DD 1 101
RD 00000016 2 -7026
RD 000001AD 1 34
RD 00000185 1 -78
RD 000003F4 1 -2
RD 00000158 4 1422195501
RD 00000172 2 -10399
RD 0000001C 4 -794535317
RD 00000278 1 -59
RD 00000238 2 10538
RD 0000034E 2 4042
RD 000001BA 2 30174
RD 000001F5 1 56
RD 00000308 1 81
RD 00000330 4 1027562726
RD 000001FC 1 69
RD 00000370 4 1872753168
RD 00000306 1 48
RD 0000004E 2 -16767
RD 00000234 1 -126
RD 00000089 1 44
RD 000001F4 2 14648
RD 00000290 1 -103
RD 00000303 1 -8
RD 000001E4 2 -22564
RD 000002BC 4 449954731
RD 0000019E 2 -1181
RD 000001FE 2 30920
RD 00000050 2 -15876
RD 00000199 1 80
RD 0000021A 2 16058
RD 000000B2 2 -15330
RD 00000179 1 -52
RD 00000219 1 73
RD 00000018 4 -53566275
RD 00000372 2 -3568
RD 00000178 2 26572
RD 000003A3 1 -60
RD 00000210 4 -291436249
RD 00000338 4 -1084864707
RD 00000154 4 678808686
RD 000003B6 2 17693
RD 00000015 1 -75
RD 00000068 4 1760899343
RD 000003B9 1 -37
RD 00000138 4 1189017740
RD 000002E2 2 -31142
RD 00000029 1 71
RD 00000010 4 2140042949
RD 000002E9 1 13
RD 000002E8 4 -334646528
RD 00000098 2 8115
RD 000001EC 4 -97506802
RD 00000174 4 -2136747820
RD 00000236 1 -21
RD 00000214 4 -643434690
RD 000003CF 1 -78
RD 00000104 4 19645562
RD 000003B4 2 26719
RD 00000030 2 -9622
RD 0000000E 2 19103
RD 0000016C 4 -1738384929
RD 000000FC 4 -11346033
RD 0000003E 1 44
RD 00000144 2 11269
RD 0000002C 4 -129240201
RD 00000068 1 104
RD 00000372 2 -3568
RD 000000EC 4 723221285
RD 000002EE 1 108
RD 000000AA 1 85
RD 00000377 1 67
RD 00000308 4 1373852489
RD 0000037C 2 7921
RD 00000135 1 82
RD 000003EC 2 21503
RD 000000DC 2 32575
RD 000002EB 1 0
RD 0000023E 1 -122
RD 000002E8 1 -20
RD 000003D2 1 33
RD 000003E6 1 0
RD 000003BC 4 -326010655
RD 0000013E 2 -30958
RD 000001E5 1 -36
RD 000003E4 1 -119
RD 00000151 1 -42
RD 000001FA 2 20992
RD 000002E8 2 -5107
RD 000003CC 4 -193978702
RD 000000DC 4 2134857146
RD 00000220 4 -1559908245
RD 0000010C 4 1411657947
RD 0000029C 4 -1695585846
RD 00000310 2 5211
RD 000003AA 2 8298
RD 0000009A 2 9994
RD 00000248 2 -32194
RD 00000026 2 -17032
RD 00000326 1 124
RD 00000234 1 -126
RD 000001FC 2 17734
RD 000001F4 2 14648
RD 0000012A 2 20418
RD 0000031C 4 2119078964
RD 000000FC 4 -11346033
RD 000002BA 2 26872
RD 00000134 4 -1336752940
RD 00000354 2 -24154
RD 00000358 4 -37904990
RD 0000002C 1 -8
RD 0000019C 4 -1833698461
RD 00000398 4 -1249012013
RD 000001D7 1 84
RD 00000198 1 -29
RD 000000C0 4 978324646
RD 00000336 2 -2808
RD 0000024C 2 29145
RD 000003FC 4 -931223153
RD 00000331 1 63
RD 000003B6 2 17693
RD 0000026C 1 -58
RD 00000172 2 -10399
RD 000001DB 1 -127
RD 00000240 2 14903
RD 000001B4 1 95
RD 000003E1 1 -75
RD 00000164 1 -107
RD 00000086 1 -5
RD 0000016E 1 89
RD 00000340 4 580751787
RD 00000036 2 -2276
RD 00000248 4 -2109864107
RD 0000036C 4 -368906363
RD 000000D0 2 -1685
RD 0000018F 1 -28
RD 000002A4 2 14631
RD 000002CA 2 31355
RD 00000338 4 -1084864707
RD 00000340 2 8861
RD 0000023C 4 -499874170
RD 00000058 4 2094649789
RD 00000334 4 -768281336
RD 0000026B 1 82
RD 000003D0 4 869736860
RD 00000104 4 19645562
RD 000002C6 2 27447
RD 00000049 1 91
RD 000003DE 1 15
RD 00000181 1 -45
RD 00000064 4 -1693674774
RD 00000040 1 -66
RD 00000380 2 -28958
RD 00000398 2 -19059
RD 00000265 1 -94
RD 00000225 1 53
RD 0000008C 2 7276
RD 0000017E 2 12233
RD 0000025D 1 73
RD 000003B0 4 -1111312274
RD 000002EA 1 -77
RD 00000348 4 -592794517
RD 00000100 4 -1270839434
RD 00000260 4 -2140964883
RD 000002D5 1 79
RD 0000032E 2 -20829
RD 000000FA 1 -4
RD 000002DE 2 16539
RD 000003A8 4 -1246027670
RD 0000028D 1 16
RD 000002CC 4 334142316
RD 000002AC 2 -31208
RD 0000027A 2 23514
RD 00000172 1 -41
RD 000001FC 4 1162246344
RD 000003EC 1 83
RD 00000048 4 1314611782
RD 000001DC 4 -1669926024
RD 000000EF 1 37
RD 0000015D 1 -126
