# ./genrand 20 1024 100 3 12345
# random trace
RD 0000032C 2 21308
RD 0000017E 2 -1537
RD 0000029C 2 -9040
RD 000002E8 1 -126
RD 00000000 2 11622
RD 0000008C 4 2074709251
RD 000002B0 4 819780023
WD 000002B0 2 -32479
RD 000000EE 2 6041
WD 000001E2 1 127
RD 0000036C 1 -128
RD 00000112 2 24507
RD 0000001F 1 -48
RD 000003F2 1 35
RD 000003E7 1 14
WD 0000010E 1 -49
RD 00000130 2 -8122
RD 00000104 4 1877687193
WD 000001AE 1 48
RD 00000358 4 -757552253
RD 0000004C 4 -1805109262
RD 00000304 1 -70
RD 000001F0 1 113
RD 0000035D 1 7
RD 0000037B 1 -35
WD 000002BA 1 -28
RD 00000194 4 2069525453
RD 00000213 1 17
RD 000002D6 2 -30457
RD 00000230 2 24003
RD 0000027C 2 20530
WD 00000182 2 -3305
RD 00000354 4 771329805
RD 000002F0 4 -258529807
RD 00000330 2 -19600
RD 000002C4 1 -110
RD 0000005C 1 -56
RD 00000270 2 18500
RD 00000146 1 78
RD 00000374 4 670364410
RD 000001F4 1 -56
RD 00000376 2 -3334
RD 000002E8 4 -2111144234
RD 000001B8 2 -2701
RD 00000005 1 13
RD 0000010C 4 -1567633615
RD 000001FE 2 -24861
RD 000003E0 4 -2111758194
WD 00000064 1 123
WD 00000164 4 880207737
RD 00000374 4 670364410
RD 00000114 4 204700263
RD 00000208 2 31925
RD 000001EC 4 -198549692
RD 00000104 4 1877687193
RD 000002E4 1 34
RD 0000011C 2 -16220
WD 000001C6 2 19445
RD 00000158 4 -914714857
RD 000002FC 1 -2
RD 00000272 1 -7
RD 00000384 4 -1526997489
RD 0000018F 1 32
RD 0000037F 1 -24
RD 00000084 4 437979713
WD 0000036B 1 56
RD 00000154 1 120
RD 00000284 2 11999
WD 000003DC 2 -28447
RD 000003B4 4 -1452501367
RD 0000026D 1 -23
RD 00000218 1 23
RD 00000094 2 -4281
WD 00000206 2 6253
RD 000000E2 2 19904
RD 000003E8 4 -616080997
RD 0000015B 1 23
WD 00000198 4 1447826677
RD 000001D4 4 -51334671
RD 00000170 4 298737034
RD 00000056 2 10702
RD 00000042 1 -128
RD 000000AC 1 -48
RD 0000010C 4 -1567633615
RD 000001F0 1 113
WD 000001D8 4 1342701073
WD 0000032C 4 1536769315
RD 00000186 2 24026
WD 00000308 4 150981661
RD 0000024A 2 17033
RD 00000268 2 -6467
RD 00000318 4 -356673304
RD 000001D0 4 1346861109
RD 000002A0 2 -15428
RD 00000264 2 1051
RD 00000273 1 89
RD 00000150 4 -224605331
RD 000002D8 2 18577
RD 000001E4 1 -40
WD 000003BE 2 -23376
